学校名称,排名,是否双一流,是否985,是否211
清华大学,1,双一流,985,211
北京大学,2,双一流,985,211
浙江大学,3,双一流,985,211
上海交通大学,4,双一流,985,211
复旦大学,5,双一流,985,211
南京大学,6,双一流,985,211
中国科学技术大学,7,双一流,985,211
武汉大学,8,双一流,985,211
华中科技大学,9,双一流,985,211
西安交通大学,10,双一流,985,211
北京航空航天大学,11,双一流,985,211
中山大学,12,双一流,985,211
北京理工大学,13,双一流,985,211
哈尔滨工业大学,14,双一流,985,211
四川大学,15,双一流,985,211
东南大学,16,双一流,985,211
中国人民大学,17,双一流,985,211
同济大学,18,双一流,985,211
北京师范大学,19,双一流,985,211
天津大学,20,双一流,985,211
西北工业大学,21,双一流,985,211
山东大学,22,双一流,985,211
南开大学,23,双一流,985,211
厦门大学,24,双一流,985,211
中国农业大学,25,双一流,985,211
吉林大学,26,双一流,985,211
中南大学,27,双一流,985,211
大连理工大学,28,双一流,985,211
湖南大学,29,双一流,985,211
华东师范大学,30,双一流,985,211
